./ExpMaxSegBox,8000,512,512,1,8.52953
./ExpMaxSegBox,8000,512,512,2,6.30683
./ExpMaxSegBox,8000,512,512,3,3.96127
./ExpMaxSegBox,8000,512,512,4,2.26662
./ExpMaxSegBox,8000,512,512,8,1.25185
./ExpMaxSegBox,8000,512,512,12,0.844715
./ExpMaxSegBox,8000,512,512,16,0.694705
./ExpMaxSegBox,8000,64,64,1,0.127799
./ExpMaxSegBox,8000,64,64,2,0.0639761
./ExpMaxSegBox,8000,64,64,3,0.0464743
./ExpMaxSegBox,8000,64,64,4,0.0375623
./ExpMaxSegBox,8000,64,64,8,0.0199982
./ExpMaxSegBox,8000,64,64,12,0.0158824
./ExpMaxSegBox,8000,64,64,16,0.0196815
