,name,threads,time_mean,time_std,speedup_mean
571,well-balanced,0,25.1393,1.031329502563145,1.0
572,well-balanced,1,35.01582499999999,0.11458093521299881,0.7179411023444401
573,well-balanced,2,17.810475,0.0718791992562122,1.4114895868863688
574,well-balanced,3,12.165350000000002,0.09220432279918929,2.066467467027253
575,well-balanced,4,9.1518225,0.2003058674520405,2.746917348976119
576,well-balanced,5,7.313602499999999,0.12190061182900504,3.4373347471372693
577,well-balanced,6,6.0436250000000005,0.10009571348036268,4.159639289333802
578,well-balanced,7,5.258805,0.033619029050311736,4.780420646896015
579,well-balanced,8,4.5666525,0.05003618255108707,5.504973281851422
580,well-balanced,9,4.085344999999999,0.01643670717805582,6.153531709072307
581,well-balanced,10,3.676115,0.027522402822843225,6.8385510246551044
582,well-balanced,12,3.0707950000000004,0.02234512346927515,8.186577091600057
583,well-balanced,14,2.583655,0.031701339764387534,9.730130377314309
584,well-balanced,16,2.2751175,0.015688433182261607,11.049671060945204
585,well-balanced,18,2.0002633333333333,0.008643061186099662,12.567995213963494
586,well-balanced,20,1.8159066666666668,0.01567554613615313,13.84393838156146
587,well-balanced,24,1.52505,0.012097775002040682,16.484246418150224
588,well-balanced,28,1.30891,0.006689615833513889,19.2062861464883
589,well-balanced,32,1.1547233333333333,0.019389886711032246,21.770842654950535
590,well-balanced,40,0.9536709999999999,0.0,26.360558305746952
591,well-balanced,48,0.86345,0.0,29.114945856737503
592,well-balanced,52,0.787277,0.0,31.931962955859245
593,well-balanced,64,0.647352,0.0,38.83405009948219
